sentence_index,NN,IN,DT,JJ,PRP,RB,NNS,VBD,VBG,CC,VBP,NNP,VB,VBN,VBZ,PRP$,TO,WRB,RP,MD,WDT,CD,WP,EX,POS,UH,RBR,JJR,PDT,JJS,RBS,(,),NNPS
13,12,10,8,6,9,7,0,4,2,2,3,5,4,3,3,3,2,4,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
14,15,11,9,7,8,13,8,9,2,3,5,1,4,4,1,3,1,3,1,0,1,1,0,1,2,1,1,0,0,0,0,0,0,0
15,22,14,11,9,7,11,2,12,4,3,2,4,4,4,0,4,3,2,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
16,25,21,13,8,8,13,6,14,3,4,3,2,2,3,1,2,1,2,2,1,0,2,2,1,0,1,0,0,0,1,0,0,0,0
17,19,18,13,9,9,8,10,15,4,6,1,2,3,1,1,2,2,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0
18,19,13,9,10,9,9,4,13,4,3,2,2,1,3,1,3,4,1,3,1,2,1,2,1,0,1,0,2,0,0,0,0,0,0
19,15,10,12,11,8,9,4,10,5,3,2,2,2,4,2,2,3,1,4,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0
20,20,10,10,10,11,9,1,11,4,2,3,0,3,2,1,2,3,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
21,15,20,14,12,9,7,11,10,2,2,2,3,3,2,0,4,2,0,2,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0
22,19,17,10,10,12,6,5,12,7,5,5,3,2,1,0,5,1,2,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
23,20,21,11,5,11,7,3,9,7,6,2,1,3,4,0,5,2,0,2,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0
24,14,12,8,5,9,4,2,7,6,4,2,4,6,3,0,3,4,1,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
25,19,13,13,7,14,6,7,8,8,5,5,3,8,3,2,1,3,2,1,1,1,0,1,0,0,0,0,2,1,0,0,0,0,0
26,19,16,10,11,8,8,7,1,6,5,4,2,1,1,4,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
27,15,14,11,14,8,4,11,11,5,3,3,4,1,2,1,4,2,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
28,18,17,14,15,11,8,5,10,5,2,3,3,2,2,1,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
29,18,17,14,15,11,8,5,10,5,2,3,3,2,2,1,3,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30,13,17,16,14,5,7,12,8,6,5,1,2,1,0,2,2,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
31,18,12,11,14,8,9,3,10,6,3,3,2,1,2,0,4,2,0,3,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0
32,16,15,7,6,10,4,8,10,7,5,3,5,1,2,1,5,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
33,12,13,11,9,13,8,6,10,4,3,5,5,3,4,2,1,4,2,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0
34,8,12,10,8,9,7,11,6,2,3,4,4,5,2,3,2,3,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0
35,19,10,8,6,6,5,7,0,4,5,4,2,4,2,5,2,2,2,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0
36,8,9,10,9,4,5,10,1,5,3,3,6,1,1,4,1,2,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
37,13,12,13,9,6,8,6,5,5,2,1,6,3,2,1,0,3,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
38,14,12,11,7,8,7,3,8,3,3,1,7,4,2,2,1,3,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
39,9,12,10,11,10,6,6,10,5,2,1,10,6,1,2,2,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
40,13,13,17,11,8,7,6,8,2,3,2,5,1,3,3,1,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
41,14,14,14,6,7,7,6,6,5,2,3,8,6,1,1,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,7,10,8,10,5,6,6,2,1,3,5,3,3,6,3,1,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
43,11,8,7,11,5,4,5,0,0,4,5,3,3,1,2,0,2,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
44,8,9,6,8,6,5,9,0,4,5,8,5,4,2,2,2,4,2,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0
45,12,11,4,10,7,6,9,0,4,6,4,0,4,0,2,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,13,12,6,12,4,3,9,0,5,6,5,2,2,1,3,2,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
47,12,11,7,11,3,5,4,0,4,5,2,5,1,2,4,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,15,13,6,12,6,9,6,1,2,3,4,5,0,4,5,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,14,13,8,11,5,1,5,3,0,6,3,5,1,2,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,8,11,7,14,5,3,8,3,1,4,2,7,1,1,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
